,StationID,Date,StationName,AverageTemp,MaxGust,MaxRelHumidity,ProvinceShort
13051,1525,2004-08-31,BURWASH A,8.8,,,YT
13052,7534,2022-08-13,BUFFALO NARROWS (AUT),20.0,,94.0,SK
13053,51818,2017-10-19,CRANBROOK AIRPORT AUTO,8.6,0.0,,BC
13054,3945,1993-09-04,RAINY RIVER,12.0,,,ON
13055,31469,2015-11-13,FAIRVIEW AGDM,1.3,59.0,,AB
13056,8979,2010-09-07,ROCK RIVER,8.7,0.0,,YT
13057,4132,1999-05-30,SUDBURY A,22.7,46.0,70.0,ON
13058,10183,2011-08-15,RED EARTH LO,,,,AB
13059,655,2018-08-12,VANDERHOOF,17.0,,,BC
13060,596,2007-05-29,HORSEFLY LAKE GRUHS LAKE,11.3,,,BC
13061,51798,2014-07-16,WASECA RCS,20.9,0.0,,SK
13062,47087,2015-08-02,LA GLACE AGCM,,0.0,,AB
13063,53027,2022-09-15,TESLIN A,8.7,36.0,96.0,YT
13064,4236,2015-07-23,BROCKVILLE PCC,19.8,,,ON
13065,10183,2011-11-28,RED EARTH,-9.2,0.0,,AB
13066,27378,2014-06-27,BANFF CS,13.4,33.0,,AB
13067,3375,1998-05-22,ISLAND FALLS,16.0,,,SK
13068,8214,2018-10-08,BLUE RIVER CS,5.6,,100.0,BC
13069,557,2004-07-02,FRASER LAKE NORTH SHORE,16.8,,,BC
13070,3394,2006-09-16,STONY RAPIDS A,6.0,0.0,,SK
13071,535,2014-10-08,OOTSA L SKINS L SPILLWAY,9.3,,,BC
13072,650,2018-07-19,SPOKIN LAKE 4E,13.5,,,BC
13073,655,2018-11-13,VANDERHOOF,-0.3,,,BC
