x,y,MAX_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,SPEED_MAX_GUST,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE
-122.48861111111111,52.54138888888889,,1991-05-27 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-06-20 00:00:00,CASTLE ROCK 6 NORTH,,18,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-02-08 00:00:00,CASTLE ROCK 6 NORTH,,2,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-11-25 00:00:00,CASTLE ROCK 6 NORTH,,-8.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-01-27 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-02-14 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-08-08 00:00:00,CASTLE ROCK 6 NORTH,,19.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-11-12 00:00:00,CASTLE ROCK 6 NORTH,,-1.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-03-12 00:00:00,CASTLE ROCK 6 NORTH,,-6,109A4NG,BC
-122.48861111111111,52.54138888888889,,2003-05-27 00:00:00,CASTLE ROCK 6 NORTH,,15.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-05-30 00:00:00,CASTLE ROCK 6 NORTH,,9.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-05-02 00:00:00,CASTLE ROCK 6 NORTH,,8.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-09-24 00:00:00,CASTLE ROCK 6 NORTH,,14,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-09-02 00:00:00,CASTLE ROCK 6 NORTH,,11.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-10-04 00:00:00,CASTLE ROCK 6 NORTH,,4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-11-02 00:00:00,CASTLE ROCK 6 NORTH,,11.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1991-05-02 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-09-17 00:00:00,CASTLE ROCK 6 NORTH,,11.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-03-10 00:00:00,CASTLE ROCK 6 NORTH,,5,109A4NG,BC
