x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-01-04 00:00:00,-9.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1998-07-17 00:00:00,17.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1995-05-07 00:00:00,10.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-06-07 00:00:00,21.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2006-01-02 00:00:00,-5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2010-07-30 00:00:00,18.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-11-21 00:00:00,-3.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-05-17 00:00:00,12.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-11-02 00:00:00,-1.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-10-13 00:00:00,10.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-10-21 00:00:00,0.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-08-28 00:00:00,18.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-06-29 00:00:00,20.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2006-08-30 00:00:00,18,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2009-11-22 00:00:00,3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2014-05-29 00:00:00,19,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2010-02-21 00:00:00,-8.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-06-22 00:00:00,17.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1998-11-27 00:00:00,2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-03-22 00:00:00,-0.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-05-26 00:00:00,7.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-07-25 00:00:00,23,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-05-25 00:00:00,6.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1988-05-02 00:00:00,18,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-10-17 00:00:00,-1.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-06-13 00:00:00,18.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1998-04-17 00:00:00,4,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-03-13 00:00:00,2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-10-02 00:00:00,9.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-12-16 00:00:00,-5.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1990-11-02 00:00:00,2,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-07-08 00:00:00,20.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-11-28 00:00:00,-7.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-03-21 00:00:00,5.5,,,5031320
